samples=12741 existing=20 pending=12721
      "semantic_any_partial_or_supported": 25,
      "semantic_all_partial_or_supported": 16,
      "semantic_any_contradicted": 30,
      "semantic_any_supported_rate": 7.14,
      "semantic_any_partial_or_supported_rate": 16.23
    },
    {
      "run_id": "mem0_medium",
      "question_type": "Generalization & Application",
      "wrong_with_evidence_judged": 616,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 6,
      "semantic_any_supported": 98,
      "semantic_all_supported": 48,
      "semantic_any_partial_or_supported": 204,
      "semantic_all_partial_or_supported": 93,
      "semantic_any_contradicted": 76,
      "semantic_any_supported_rate": 15.91,
      "semantic_any_partial_or_supported_rate": 33.12
    },
    {
      "run_id": "mem0_medium",
      "question_type": "Memory Conflict",
      "wrong_with_evidence_judged": 510,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 4,
      "semantic_any_supported": 44,
      "semantic_all_supported": 34,
      "semantic_any_partial_or_supported": 58,
      "semantic_all_partial_or_supported": 46,
      "semantic_any_contradicted": 133,
      "semantic_any_supported_rate": 8.63,
      "semantic_any_partial_or_supported_rate": 11.37
    },
    {
      "run_id": "mem0_medium",
      "question_type": "Multi-hop Inference",
      "wrong_with_evidence_judged": 173,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 5,
      "semantic_any_supported": 37,
      "semantic_all_supported": 15,
      "semantic_any_partial_or_supported": 67,
      "semantic_all_partial_or_supported": 26,
      "semantic_any_contradicted": 10,
      "semantic_any_supported_rate": 21.39,
      "semantic_any_partial_or_supported_rate": 38.73
    },
    {
      "run_id": "memobase_long",
      "question_type": "Basic Fact Recall",
      "wrong_with_evidence_judged": 721,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 0,
      "semantic_any_supported": 2,
      "semantic_all_supported": 2,
      "semantic_any_partial_or_supported": 14,
      "semantic_all_partial_or_supported": 14,
      "semantic_any_contradicted": 6,
      "semantic_any_supported_rate": 0.28,
      "semantic_any_partial_or_supported_rate": 1.94
    },
    {
      "run_id": "memobase_long",
      "question_type": "Dynamic Update",
      "wrong_with_evidence_judged": 174,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 1,
      "semantic_any_supported": 2,
      "semantic_all_supported": 2,
      "semantic_any_partial_or_supported": 11,
      "semantic_all_partial_or_supported": 7,
      "semantic_any_contradicted": 3,
      "semantic_any_supported_rate": 1.15,
      "semantic_any_partial_or_supported_rate": 6.32
    },
    {
      "run_id": "memobase_long",
      "question_type": "Generalization & Application",
      "wrong_with_evidence_judged": 681,
      "token_any_exact_hit": 1,
      "token_any_hit_0p60": 0,
      "semantic_any_supported": 7,
      "semantic_all_supported": 3,
      "semantic_any_partial_or_supported": 53,
      "semantic_all_partial_or_supported": 10,
      "semantic_any_contradicted": 2,
      "semantic_any_supported_rate": 1.03,
      "semantic_any_partial_or_supported_rate": 7.78
    },
    {
      "run_id": "memobase_long",
      "question_type": "Memory Conflict",
      "wrong_with_evidence_judged": 668,
      "token_any_exact_hit": 2,
      "token_any_hit_0p60": 2,
      "semantic_any_supported": 12,
      "semantic_all_supported": 9,
      "semantic_any_partial_or_supported": 18,
      "semantic_all_partial_or_supported": 14,
      "semantic_any_contradicted": 1,
      "semantic_any_supported_rate": 1.8,
      "semantic_any_partial_or_supported_rate": 2.69
    },
    {
      "run_id": "memobase_long",
      "question_type": "Multi-hop Inference",
      "wrong_with_evidence_judged": 189,
      "token_any_exact_hit": 2,
      "token_any_hit_0p60": 0,
      "semantic_any_supported": 6,
      "semantic_all_supported": 2,
      "semantic_any_partial_or_supported": 25,
      "semantic_all_partial_or_supported": 5,
      "semantic_any_contradicted": 1,
      "semantic_any_supported_rate": 3.17,
      "semantic_any_partial_or_supported_rate": 13.23
    },
    {
      "run_id": "memobase_medium",
      "question_type": "Basic Fact Recall",
      "wrong_with_evidence_judged": 708,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 5,
      "semantic_any_supported": 13,
      "semantic_all_supported": 13,
      "semantic_any_partial_or_supported": 29,
      "semantic_all_partial_or_supported": 28,
      "semantic_any_contradicted": 8,
      "semantic_any_supported_rate": 1.84,
      "semantic_any_partial_or_supported_rate": 4.1
    },
    {
      "run_id": "memobase_medium",
      "question_type": "Dynamic Update",
      "wrong_with_evidence_judged": 168,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 2,
      "semantic_any_supported": 6,
      "semantic_all_supported": 4,
      "semantic_any_partial_or_supported": 29,
      "semantic_all_partial_or_supported": 17,
      "semantic_any_contradicted": 8,
      "semantic_any_supported_rate": 3.57,
      "semantic_any_partial_or_supported_rate": 17.26
    },
    {
      "run_id": "memobase_medium",
      "question_type": "Generalization & Application",
      "wrong_with_evidence_judged": 638,
      "token_any_exact_hit": 1,
      "token_any_hit_0p60": 4,
      "semantic_any_supported": 38,
      "semantic_all_supported": 17,
      "semantic_any_partial_or_supported": 110,
      "semantic_all_partial_or_supported": 43,
      "semantic_any_contradicted": 4,
      "semantic_any_supported_rate": 5.96,
      "semantic_any_partial_or_supported_rate": 17.24
    },
    {
      "run_id": "memobase_medium",
      "question_type": "Memory Conflict",
      "wrong_with_evidence_judged": 634,
      "token_any_exact_hit": 1,
      "token_any_hit_0p60": 4,
      "semantic_any_supported": 10,
      "semantic_all_supported": 8,
      "semantic_any_partial_or_supported": 20,
      "semantic_all_partial_or_supported": 10,
      "semantic_any_contradicted": 7,
      "semantic_any_supported_rate": 1.58,
      "semantic_any_partial_or_supported_rate": 3.15
    },
    {
      "run_id": "memobase_medium",
      "question_type": "Multi-hop Inference",
      "wrong_with_evidence_judged": 176,
      "token_any_exact_hit": 2,
      "token_any_hit_0p60": 2,
      "semantic_any_supported": 17,
      "semantic_all_supported": 4,
      "semantic_any_partial_or_supported": 47,
      "semantic_all_partial_or_supported": 13,
      "semantic_any_contradicted": 2,
      "semantic_any_supported_rate": 9.66,
      "semantic_any_partial_or_supported_rate": 26.7
    },
    {
      "run_id": "memos_long",
      "question_type": "Basic Fact Recall",
      "wrong_with_evidence_judged": 364,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 46,
      "semantic_any_supported": 94,
      "semantic_all_supported": 92,
      "semantic_any_partial_or_supported": 128,
      "semantic_all_partial_or_supported": 127,
      "semantic_any_contradicted": 32,
      "semantic_any_supported_rate": 25.82,
      "semantic_any_partial_or_supported_rate": 35.16
    },
    {
      "run_id": "memos_long",
      "question_type": "Dynamic Update",
      "wrong_with_evidence_judged": 103,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 18,
      "semantic_any_supported": 24,
      "semantic_all_supported": 20,
      "semantic_any_partial_or_supported": 39,
      "semantic_all_partial_or_supported": 34,
      "semantic_any_contradicted": 12,
      "semantic_any_supported_rate": 23.3,
      "semantic_any_partial_or_supported_rate": 37.86
    },
    {
      "run_id": "memos_long",
      "question_type": "Generalization & Application",
      "wrong_with_evidence_judged": 312,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 120,
      "semantic_any_supported": 205,
      "semantic_all_supported": 144,
      "semantic_any_partial_or_supported": 250,
      "semantic_all_partial_or_supported": 176,
      "semantic_any_contradicted": 3,
      "semantic_any_supported_rate": 65.71,
      "semantic_any_partial_or_supported_rate": 80.13
    },
    {
      "run_id": "memos_long",
      "question_type": "Memory Conflict",
      "wrong_with_evidence_judged": 119,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 40,
      "semantic_any_supported": 72,
      "semantic_all_supported": 65,
      "semantic_any_partial_or_supported": 74,
      "semantic_all_partial_or_supported": 69,
      "semantic_any_contradicted": 18,
      "semantic_any_supported_rate": 60.5,
      "semantic_any_partial_or_supported_rate": 62.18
    },
    {
      "run_id": "memos_long",
      "question_type": "Multi-hop Inference",
      "wrong_with_evidence_judged": 100,
      "token_any_exact_hit": 0,
      "token_any_hit_0p60": 35,
      "semantic_any_supported": 56,
      "semantic_all_supported": 27,
      "semantic_any_partial_or_supported": 73,
      "semantic_all_partial_or_supported": 36,
      "semantic_any_contradicted": 2,
      "semantic_any_supported_rate": 56.0,
      "semantic_any_partial_or_supported_rate": 73.0
    },
    {
